"商品编号","商品名称","商品品牌","状态","商品价格","全国总销量","全国总库存","总可订购","北京销量","北京库存","北京可订购","固安总体销量","固安总体库存","固安总体可订购","上海总体销量","上海总体库存","上海总体可订购","广州总体销量","广州总体库存","广州总体可订购","成都总体销量","成都总体库存","成都总体可订购","武汉总体销量","武汉总体库存","武汉总体可订购","沈阳总体销量","沈阳总体库存","沈阳总体可订购","西安总体销量","西安总体库存","西安总体可订购","海口销量","海口库存","海口可订购","德州总体销量","德州总体库存","德州总体可订购","拉萨销量","拉萨库存","拉萨可订购","临汾销量","临汾库存","临汾可订购","南京销量","南京库存","南京可订购","福州销量","福州库存","福州可订购","石家庄销量","石家庄库存","石家庄可订购","南宁销量","南宁库存","南宁可订购","乌鲁木齐销量","乌鲁木齐库存","乌鲁木齐可订购","合肥销量","合肥库存","合肥可订购","唐山销量","唐山库存","唐山可订购","济宁销量","济宁库存","济宁可订购","长沙销量","长沙库存","长沙可订购","宿迁销量","宿迁库存","宿迁可订购","衡阳销量","衡阳库存","衡阳可订购","大同销量","大同库存","大同可订购","长春销量","长春库存","长春可订购","洛阳销量","洛阳库存","洛阳可订购","北京总体销量","北京总体库存","北京总体可订购","大连销量","大连库存","大连可订购","呼和浩特销量","呼和浩特库存","呼和浩特可订购","青岛销量","青岛库存","青岛可订购","哈尔滨销量","哈尔滨库存","哈尔滨可订购","贵阳销量","贵阳库存","贵阳可订购","南昌销量","南昌库存","南昌可订购","银川销量","银川库存","银川可订购","柳州销量","柳州库存","柳州可订购","济南销量","济南库存","济南可订购","深圳销量","深圳库存","深圳可订购","郑州销量","郑州库存","郑州可订购","昆明销量","昆明库存","昆明可订购","台州销量","台州库存","台州可订购","厦门销量","厦门库存","厦门可订购","重庆销量","重庆库存","重庆可订购","荆州销量","荆州库存","荆州可订购","天津销量","天津库存","天津可订购","太原销量","太原库存","太原可订购","驻马店销量","驻马店库存","驻马店可订购","杭州销量","杭州库存","杭州可订购","兰州销量","兰州库存","兰州可订购","南充销量","南充库存","南充可订购","锦州销量","锦州库存","锦州可订购"
"1688084","【京东超市】寿全斋 生姜红茶十支装 固体饮料 120g","寿全斋（SHOUQUANZHAI）","上柜","27.0000","5","525","526","- ","- ","- ","0","7","7","0","119","119","0","149","150","0","40","40","1","49","49","3","31","31","1","10","10","0","2","2","0","23","23","- ","- ","- ","- ","- ","- ","0","18","18","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","1","1","0","1","1","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","0","97","97","0","2","2","0","0","0","0","4","4","0","7","7","0","1","1","- ","- ","- ","0","1","1","0","1","1","0","0","0","0","3","3","0","0","0","0","0","0","- ","- ","- ","0","0","1","0","4","4","- ","- ","- ","0","7","7","0","2","2","0","1","1","0","2","2","0","3","3","0","1","1","0","4","4"
"2297752","【京东超市】寿全斋 桂圆红枣茶10支装 速溶颗粒饮料 120g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","21","591","588","- ","- ","- ","0","1","1","3","139","139","9","144","143","4","62","61","2","19","19","0","53","53","0","39","39","2","1","1","1","44","44","- ","- ","- ","- ","- ","- ","2","0","0","0","3","3","- ","- ","- ","1","2","2","0","0","0","0","5","5","- ","- ","- ","- ","- ","- ","0","2","2","0","3","3","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","2","90","89","-1","4","4","0","3","3","0","3","3","0","5","5","0","3","3","- ","- ","- ","0","0","0","0","0","0","0","0","0","3","26","26","0","2","2","0","0","-1","0","1","1","0","2","2","0","3","3","- ","- ","- ","0","1","1","0","2","2","2","0","0","0","13","13","0","3","3","0","1","1","1","1","1"
"2099812","【京东超市】寿全斋 红糖老姜汤 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","55","1576","1752","- ","- ","- ","0","0","0","17","370","406","13","502","577","4","31","102","1","102","102","10","115","115","2","82","83","0","2","2","6","1","1","- ","- ","- ","- ","- ","- ","0","25","61","0","2","2","0","0","0","0","7","7","0","4","13","0","2","2","- ","- ","- ","0","1","1","1","0","0","0","4","4","0","7","7","- ","- ","- ","0","2","2","- ","- ","- ","2","373","366","10","8","8","0","4","4","0","0","0","0","6","6","0","0","0","0","1","1","0","4","4","0","2","2","2","0","0","1","57","129","0","6","6","0","2","2","0","3","3","0","0","3","1","1","1","0","2","2","0","0","0","0","0","0","0","1","1","0","78","78","1","6","6","0","4","4","0","3","3"
"1518870","【京东超市】寿全斋 花草茶 法兰西玫瑰 玫瑰花茶罐装 40g","寿全斋（SHOUQUANZHAI）","上柜","31.0000","4","50","48","- ","- ","- ","0","0","0","1","0","0","0","2","2","0","3","3","0","0","0","1","19","18","0","17","17","0","1","1","1","0","0","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","1","1","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","9","8","- ","- ","- ","- ","- ","- ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","- ","- ","- ","1","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","3","3","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4139646","【京东超市】寿全斋 暖贡姜茶礼盒 红糖红枣枸杞姜茶老姜汤姨妈茶姜枣茶 12gx30条 360g","寿全斋（SHOUQUANZHAI）","上柜","256.0000","4","891","891","- ","- ","- ","0","0","0","0","12","12","0","3","3","0","0","0","1","0","0","0","0","0","0","2","2","0","2","2","0","0","0","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","3","874","874","- ","- ","- ","2","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1518895","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250g","寿全斋（SHOUQUANZHAI）","上柜","26.0000","43","5555","5721","- ","- ","- ","0","13","13","14","1397","1397","9","1555","1578","-1","519","518","6","482","488","2","282","285","0","410","409","0","15","15","2","0","144","0","1","1","- ","- ","- ","1","161","161","0","10","10","0","0","0","1","11","11","0","16","16","1","36","36","0","5","5","0","0","0","1","10","10","2","8","8","0","2","2","- ","- ","- ","0","5","5","- ","- ","- ","11","897","889","0","1","4","0","50","50","0","0","0","0","11","11","0","8","8","0","0","6","0","5","5","0","4","4","0","0","0","3","144","168","1","8","8","0","2","1","0","4","4","0","27","27","0","11","11","- ","- ","- ","0","13","13","0","0","0","0","2","2","2","144","144","0","7","7","0","1","1","0","3","3"
"1505905","【京东超市】寿全斋 红枣姜茶 姜枣茶 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","24.8000","42","3334","3365","- ","- ","- ","1","0","0","13","538","555","13","771","773","1","290","290","2","272","269","4","280","280","3","164","171","0","0","3","0","70","78","0","2","2","0","3","3","0","22","40","1","4","4","0","15","15","1","16","16","0","5","5","1","10","10","0","2","2","0","3","3","0","0","0","0","3","9","0","5","5","0","3","3","1","10","10","0","2","2","5","949","949","0","12","12","0","2","2","0","5","14","0","14","14","0","0","0","1","5","5","0","6","6","0","4","3","0","0","0","5","197","197","0","13","10","0","1","1","0","4","4","0","6","6","1","0","0","0","2","2","1","0","0","0","7","7","0","7","7","0","42","42","0","0","7","0","3","3","0","9","9"
"1518910","【京东超市】寿全斋 花草茶 玫瑰荷叶茶 袋泡茶纸袋装 125g","寿全斋（SHOUQUANZHAI）","上柜","29.9000","5","488","485","- ","- ","- ","0","3","3","1","73","73","2","94","94","0","34","31","0","53","53","0","15","15","0","44","44","0","1","1","0","67","67","0","7","7","- ","- ","- ","0","6","6","0","6","6","0","3","3","0","3","3","0","3","3","- ","- ","- ","- ","- ","- ","0","6","6","0","0","0","1","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","2","105","105","0","2","2","0","0","0","0","5","5","0","1","1","0","1","1","- ","- ","- ","0","5","5","0","1","1","0","0","0","0","11","11","0","4","4","0","3","2","0","3","3","0","0","0","0","4","4","- ","- ","- ","0","3","3","0","3","3","0","2","2","0","15","15","0","1","1","- ","- ","- ","- ","- ","- "
"2098795","【京东超市】寿全斋 红糖姜茶 姨妈茶 速溶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","125.0000","3","447","447","- ","- ","- ","0","1","1","0","87","87","0","135","135","0","44","44","1","23","23","1","28","28","0","40","40","- ","- ","- ","1","8","8","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","1","1","0","0","0","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","0","81","81","0","7","7","- ","- ","- ","0","0","0","0","3","3","0","2","2","0","4","4","0","1","1","0","1","1","- ","- ","- ","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","0","11","11","0","0","0","- ","- ","- ","0","1","1","0","0","0","- ","- ","- ","0","2","2","0","1","1","- ","- ","- ","- ","- ","- "
"4820153","【京东超市】寿全斋 红糖姜枣膏 红糖姜茶红枣姜茶姜枣茶姜丝手工熬制姜汤姨妈茶 300g","寿全斋（SHOUQUANZHAI）","上柜","79.0000","0","645","716","- ","- ","- ","- ","- ","- ","0","143","142","0","144","144","0","72","72","0","0","72","0","72","72","0","72","72","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","142","142","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"3336382","【京东超市】寿全斋 玫瑰黑糖姜块 姨妈茶 手工速溶生姜茶黑糖块老姜汤姜母茶罐装 180g","寿全斋（SHOUQUANZHAI）","上柜","39.9000","9","1337","1330","- ","- ","- ","1","0","0","0","266","265","5","295","295","0","137","137","0","78","78","2","71","71","0","52","52","0","4","4","1","26","25","- ","- ","- ","- ","- ","- ","0","4","4","3","0","0","0","2","2","0","1","1","0","7","7","0","5","5","- ","- ","- ","1","0","0","0","0","0","0","1","1","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","0","412","407","1","5","5","0","2","2","0","7","7","0","2","2","- ","- ","- ","0","1","1","0","1","1","1","0","0","0","0","0","0","54","54","0","6","6","0","3","3","- ","- ","- ","1","0","0","0","1","1","- ","- ","- ","1","0","0","0","0","0","0","1","1","0","0","0","0","3","3","- ","- ","- ","- ","- ","- "
"2169927","【京东超市】寿全斋 姜茶套装：红糖+黑糖+柠檬+蜂蜜姜茶 姨妈茶 速溶生姜茶4盒120g/盒 480g","寿全斋（SHOUQUANZHAI）","上柜","79.0000","28","1601","1618","- ","- ","- ","1","0","0","3","284","284","5","535","539","3","100","99","2","143","143","1","135","135","6","74","81","0","1","4","3","24","33","- ","- ","- ","- ","- ","- ","0","30","30","0","1","1","0","2","2","1","0","2","0","2","9","0","2","2","- ","- ","- ","- ","- ","- ","1","0","0","1","1","1","0","1","1","- ","- ","- ","0","5","5","- ","- ","- ","4","306","304","1","2","2","0","2","2","0","1","10","0","4","4","0","3","3","0","2","2","0","1","1","0","1","1","1","0","0","1","482","482","0","8","8","1","6","6","0","1","1","0","8","8","2","0","0","- ","- ","- ","1","0","0","0","4","4","0","3","3","0","35","35","4","1","1","0","3","3","0","1","1"
"3083448","【京东超市】寿全斋 黑糖姜块姜母茶 手工姜茶速溶黑糖块老姜汤罐装 180g","寿全斋（SHOUQUANZHAI）","上柜","39.9000","37","1055","1051","- ","- ","- ","1","5","5","7","223","221","12","275","272","2","51","61","0","40","38","6","118","118","1","70","69","0","3","2","7","49","49","0","1","1","- ","- ","- ","1","28","28","2","2","2","0","6","6","0","8","8","0","2","2","1","3","3","- ","- ","- ","1","1","1","0","1","1","0","4","4","0","2","2","- ","- ","- ","2","3","3","- ","- ","- ","1","224","218","0","8","8","0","1","1","0","10","10","0","6","6","0","1","1","0","1","1","0","3","3","0","1","1","1","0","0","1","14","14","0","3","3","0","4","4","- ","- ","- ","4","0","0","0","0","10","0","2","2","1","5","5","0","7","7","0","1","1","0","7","7","0","3","3","0","3","3","1","0","0"
"1273858","【京东超市】寿全斋 红糖姜茶 红糖 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","19.8000","606","29126","29390","- ","- ","- ","23","148","140","121","5672","5714","188","11931","12027","51","1794","1775","38","2127","2231","30","1152","1180","29","1057","1048","8","0","19","41","544","573","0","0","0","0","11","11","12","269","269","9","0","40","0","14","49","10","19","72","7","13","9","4","23","73","1","5","5","0","7","7","11","0","0","5","40","40","0","7","3","0","9","8","15","18","17","1","6","5","85","4701","4702","8","16","46","3","4","21","0","136","134","1","76","76","0","27","22","5","6","41","3","5","5","2","7","19","11","0","0","36","1133","1131","7","46","127","11","45","43","1","4","4","20","44","40","11","6","6","0","11","11","23","148","140","0","71","71","2","10","7","13","586","584","2","26","24","1","10","9","0","7","7"
"1518901","【京东超市】寿全斋 胎菊 菊花茶 杭白菊 35g/罐","寿全斋（SHOUQUANZHAI）","上柜","26.0000","8","469","465","- ","- ","- ","0","0","0","0","140","140","6","143","142","0","44","41","1","6","6","0","8","8","0","14","14","2","0","0","1","44","44","- ","- ","- ","- ","- ","- ","0","0","0","0","4","3","- ","- ","- ","0","2","2","0","0","0","0","4","4","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","70","70","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","1","0","0","0","3","3","0","3","3","0","1","1","- ","- ","- ","0","3","3","0","0","0","- ","- ","- ","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","1","1","- ","- ","- "
"4365817","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250gx2（2袋装）","寿全斋（SHOUQUANZHAI）","上柜","52.0000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1273862","【京东超市】寿全斋 姜茶套装：红糖姜茶3盒+黑糖姜茶1盒 姨妈茶  速溶姜母茶老姜汤 480g","寿全斋（SHOUQUANZHAI）","上柜","69.0000","201","13969","14130","- ","- ","- ","4","44","44","56","2670","2685","45","5097","5149","12","963","1010","20","1085","1085","11","589","623","15","729","721","0","11","9","13","257","281","0","3","8","0","9","9","3","120","120","0","0","19","0","19","19","5","27","26","0","19","19","5","11","34","0","9","9","0","7","7","3","31","31","3","20","19","1","0","7","0","3","3","2","32","32","1","8","6","25","2535","2532","2","7","7","1","5","20","0","46","71","4","10","40","2","0","0","2","13","13","0","14","13","1","8","8","6","0","0","11","363","387","5","21","18","1","0","50","0","4","4","3","0","16","2","28","27","0","5","5","4","44","44","0","32","32","1","17","16","9","214","214","-1","22","20","0","8","7","0","2","6"
"3502216","【京东超市】寿全斋 小儿姜茶 固态生姜茶饮料 儿童姜母茶姜汤 甜味固体冲剂6g*12包 72g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","5","477","512","- ","- ","- ","0","1","1","0","178","214","2","72","73","0","32","32","2","13","13","0","22","22","0","3","3","0","0","0","0","38","38","- ","- ","- ","- ","- ","- ","0","2","38","0","2","2","- ","- ","- ","0","0","0","0","1","1","0","0","0","- ","- ","- ","0","1","1","1","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","3","3","- ","- ","- ","1","118","116","0","1","1","0","5","5","0","0","0","0","0","0","0","1","1","0","2","2","0","0","0","0","1","1","0","0","0","1","14","14","0","1","1","- ","- ","- ","- ","- ","- ","0","0","1","0","4","4","- ","- ","- ","0","1","1","0","2","2","0","2","2","0","3","3","0","0","0","- ","- ","- ","- ","- ","- "
"4264874","【京东超市】寿全斋 姜茶暖心礼盒（红糖姜茶2盒+红枣姜茶2盒） 姜枣茶姨妈茶姜母茶姜汁红糖老姜汤 共480g","寿全斋（SHOUQUANZHAI）","上柜","79.0000","60","1441","1518","- ","- ","- ","2","0","0","6","277","307","14","338","385","5","137","144","12","136","134","4","127","127","2","120","119","- ","- ","- ","6","0","0","0","1","1","2","0","0","1","21","45","- ","- ","- ","0","0","0","2","4","4","0","2","1","0","0","6","- ","- ","- ","- ","- ","- ","3","0","0","1","4","4","2","2","2","- ","- ","- ","2","6","6","0","1","1","9","306","302","1","4","4","0","0","0","0","0","0","1","9","9","0","1","8","0","4","4","0","3","3","0","0","0","1","0","0","3","39","87","2","16","15","0","3","3","- ","- ","- ","- ","- ","- ","5","5","5","- ","- ","- ","2","0","0","0","0","0","0","5","5","0","25","25","1","3","3","0","3","3","0","3","3"
"3336384","【京东超市】寿全斋 红枣黑糖姜块 姨妈茶 姜枣茶 手工速溶生姜茶黑糖块老姜汤姜母茶罐装 180g","寿全斋（SHOUQUANZHAI）","上柜","39.9000","70","3871","3893","- ","- ","- ","2","69","67","7","658","654","16","626","654","7","288","299","12","350","346","3","385","382","4","230","225","0","5","5","8","291","289","1","0","0","0","7","7","0","78","78","0","8","8","0","4","4","2","3","3","1","6","3","0","10","10","1","1","8","0","2","2","3","3","3","0","11","11","0","4","4","0","3","3","0","7","7","- ","- ","- ","11","974","977","1","20","20","0","3","3","0","21","21","0","15","15","0","0","3","0","11","7","0","4","4","1","2","2","1","0","0","2","110","140","1","13","13","0","1","9","0","1","1","3","1","0","0","20","20","5","4","4","2","69","67","0","4","4","0","2","2","1","71","71","0","10","8","2","4","4","0","2","0"
"4738336","【京东超市】寿全斋  红糖姜茶流通包整板  姨妈茶速溶姜母茶老姜汤  12g*30包共360g","寿全斋（SHOUQUANZHAI）","上柜","65.0000","4","210","220","- ","- ","- ","0","0","0","0","24","24","2","56","56","0","2","14","0","14","14","0","8","8","0","16","16","- ","- ","- ","1","5","4","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","85","84","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1273868","【京东超市】寿全斋 蜂蜜姜茶 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","19.9000","18","900","898","- ","- ","- ","0","0","0","2","192","191","3","300","298","2","35","35","4","73","73","0","85","85","3","11","14","0","4","4","2","70","70","0","4","4","0","2","2","0","44","44","0","12","12","0","4","4","0","4","4","0","0","3","0","2","2","0","1","1","1","1","1","0","1","1","0","2","2","1","0","0","- ","- ","- ","0","3","3","0","4","4","2","134","132","-2","7","7","0","1","1","0","4","4","0","3","3","0","2","2","1","0","0","0","1","1","0","3","3","0","0","0","0","41","41","1","2","2","0","3","3","0","3","3","0","15","14","0","3","3","- ","- ","- ","0","0","0","0","13","13","0","5","5","0","39","39","0","1","1","0","1","1","0","3","3"
"4928432","【京东超市】寿全斋 红糖姜茶 红糖 姨妈茶 速溶姜母茶老姜汤 1条装 12g","寿全斋（SHOUQUANZHAI）","上柜","2.5000","542","50465","50749","- ","- ","- ","41","1060","1000","92","6332","5161","202","3531","3195","23","589","572","25","442","405","50","285","246","-20","847","911","6","97","95","67","1658","1639","0","10","0","1","48","48","10","563","562","12","1748","1739","0","501","499","9","150","128","-1","96","193","3","493","489","5","28","28","6","42","41","10","9","5","-43","478","478","0","1","1","2","35","35","17","60","45","0","42","37","62","35721","37620","20","83","83","2","224","1224","0","397","384","12","96","74","2","16","15","0","0","0","-44","74","74","7","143","143","14","0","0","33","371","313","13","300","285","8","388","384","0","13","13","10","178","164","13","63","61","0","0","-1","41","1060","1000","0","129","126","1","90","78","11","947","947","1","219","219","0","60","60","1","46","44"
"4450487","【京东超市】寿全斋 红糖姜茶+红枣姜茶 红糖 姨妈茶 姜枣茶 速溶姜母茶老姜汤  120g+120g","寿全斋（SHOUQUANZHAI）","上柜","44.6000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"2182631","【京东超市】寿全斋 愿姜来姜心之作礼盒C（红糖+木糖醇+红枣）10支/罐 速溶姜母茶 姜枣茶360g","寿全斋（SHOUQUANZHAI）","上柜","99.0000","4","44","51","- ","- ","- ","0","0","0","1","16","16","1","0","8","1","4","4","0","6","6","1","5","5","0","3","3","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","0","10","9","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","8","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"3912701","【京东超市】寿全斋 愿姜来红枣姜茶-纸罐装 暖心饮品姨妈茶姜枣茶速溶姜茶姜汤 120克","寿全斋（SHOUQUANZHAI）","上柜","29.9000","3","520","516","- ","- ","- ","0","0","0","2","29","29","0","170","170","0","37","34","0","68","67","0","97","97","0","17","17","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","1","102","102","0","2","2","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","2","2","- ","- ","- ","- ","- ","- ","0","33","33","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","-1","7","7","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"2896537","【京东超市】寿全斋 花草茶 红枣片45g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","6","3411","3409","- ","- ","- ","0","239","239","0","736","736","1","820","819","1","239","238","1","343","345","0","287","287","0","115","115","0","1","1","1","37","37","0","3","3","- ","- ","- ","0","15","15","0","2","2","0","2","2","0","1","1","0","1","1","0","2","2","- ","- ","- ","- ","- ","- ","1","5","5","0","0","0","0","1","1","0","1","1","0","1","1","- ","- ","- ","2","595","593","0","2","2","0","3","3","0","5","5","0","0","0","0","2","2","0","2","2","0","1","1","0","0","0","1","0","0","0","222","222","0","0","2","0","25","24","0","1","1","0","4","3","0","3","3","0","2","2","0","239","239","0","2","2","0","1","1","0","7","7","0","0","0","- ","- ","- ","- ","- ","- "
"4044881","【京东超市】寿全斋 姜芯 植物发酵饮品 生姜甘草蓝莓山楂柠檬荷叶枸杞冬瓜等植物酵素 20ml×10包","寿全斋（SHOUQUANZHAI）","上柜","283.0000","0","0","0","- ","- ","- ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
